Name,Price
"Vitron HTC4068S,40"" Inch Smart  TV  Inbuilt WIFI Netflix, Youtube+FREE TV Guard+Bracket","KSh 20,998"
Chapa Mandashi Chapa Mandashi Baking Powder – 100g,KSh 33
Annov Two-tier Stainless Steel Dish Rack PLUS 1SPOON  1FORK,"KSh 1,299"
Blue Band Blue Band Blue Band Margarine Original – 1kg,KSh 460
Menengai Menengai Cream Bar Soap - 1kg,KSh 277
Zoe Zoe Scented Lotion Velvet Caramel - 400ML,KSh 180
Garnier Skin Active Hydrabomb Pomegranate Tissue Face Mask,KSh 210
ARHANORY Ladies Wallet Women Leather Waterproof-Black,KSh 899
Kensalt Kensalt Iodized Table Salt – 1kg,KSh 35
Waanzilish Mens Sneakers Shoes Breathable Sneakers Sport Shoes Causal Shoes -Black,KSh 959
"XIAOMI Redmi 9C 6.53'', 4GB+128GB, 13MP+2MP+2MP Camera, 4G, Dual SIM - Aurora Green","KSh 15,999"
Postman Vegetable Oil Plastic Jerican - 10Ltr,"KSh 2,618"
Generic Round Mosquito Net- Free Size,KSh 799 - KSh 880
Generic LED 2.4G Rechargeable Wireless Mouse,KSh 610
Fashion Men Watches Quartz Wrist Watch LED Backlight,KSh 610
Oppo A83 64GB+4GB RAM - 4G LTE Dual SIM - 5.7-inch Display - Face Unlock -(Gold),"KSh 7,999"
Fashion Men's Sneakers Shoes,"KSh 1,350"
Toilex Poa Toilet Paper White 10 Pack Unwrapped,KSh 204
Qwen Flash Disks 64GB USB Flash Drive High Speed,KSh 679
"Annov Blender & Grinder - 1.6L, 350W + 1Spoon 1Fork- Red","KSh 2,499"
Generic Disposable Face Mask With Elastic Earloop 3-ply Soft (5pcs),KSh 99
Waanzilish Men's Shoes Sneakers Trendy Shoes Lightweight Breathable Sneakers-Multi-color,"KSh 1,299 - KSh 1,399"
Fashion Mens Sneakers Mens Fashion Sneakers Trendy Casual Shoes Sport Sneakers,"KSh 1,890"
ARHANORY Tripod Stand Phone Ring Light Selfie Stick-Black,KSh 649
Fashion 4 In 1 Ladies Handbags Women Tote Shoulder Bag Set Leather Waterproof-Brown,"KSh 1,011"
Fashion Women Small Shoulder Bags Sling Bags-White,KSh 630
Amana Pishori - 2kg,KSh 500
Tusker Tusker Lager Can - 500ml - Pack of 6,"KSh 1,066"
"HP Chromebook 11 G5 EE(refurb)Intel 11.6"" 4GB RAM+(16GB EMCC)1366x768 Intel Celeron Dual Core","KSh 12,999"
RichRipple Fast Charging 10000mAh Power Bank Mirror Black.,KSh 899
Fashion 6-Pack Men's Cotton Woven Boxers - Assorted,KSh 829 - KSh 999
"Fashion Sexiest Black Mock Neck Stretchy Bodycon Dress (Hips 34-42"" Fit)",KSh 420
Fashion Men's Tooling High-top Platform Martin Boots,"KSh 1,576 - KSh 1,599"
HP 32GB Metallic Flash Disk Pen Drive +Free OTG Cable,KSh 575
Garnier Micellar Cleansing Water - 400ml,KSh 363
Elegant Coffee Pot Stainless Steel Ware Kettle Vacuum Flask-2L,"KSh 1,399"
"Generic Y68 Fitness Health & Lifestyle Smartwatch,FREE D.W",KSh 888
Dove Essential Nourishment Lotion 100ml + FREE 100ml Dove Lotion,KSh 150
Fanta Fanta Orange Soda - 500 ml,KSh 55
Fashion 3 Pieces Of Adjustable Baseball Cap - Multicolour,KSh 636
Fashion 16 Inch Laptop Backpack Bags Men Business With USB-Gray,KSh 791
Ace Elec Wireless Bluetooth Hifi Stereo Headsets,KSh 990
Dove Body  Lotion Go Fresh 100ml + FREE 100ml Dove Lotion,KSh 150
Nutrameal Nutrameal Packed Sugar – 2Kg,KSh 253
TC 3 Column Portable Wardrobe-Brown,"KSh 2,175"
Garnier New Skin Care Essentials Pack,"KSh 1,732"
Fashion 3 Pcs Ladies Handbag Women Bag Crossbody Bag Sling Wallet Shoulder Bag,"KSh 1,190"
Fashion Mens Fashion Sneakers Men's Sneakers Running Casual Shoes Classic Sneakers -Grey,"KSh 1,487"
Generic White & Blue Duvet Set With Star Print 1 Bedsheet 2 Pillowcases- Blanket Set,"KSh 1,800 - KSh 2,150"
Fashion 3 In 1 Women Bag Ladies Handbag Sling Bag Purse,"KSh 1,190"
Maybelline Fit Me Mattifying Primer Matte And Poreless,KSh 690
Royco Stock Cube Beef Seasoning 40x4g.,KSh 124
Oraimo Fast Android Usb Data Cable,KSh 248
Oraimo OPB-P116DN 10000 Mah Power Bank Dual Fast Charging,"KSh 1,620"
Fashion Necklaces Jewelry Choker Chain Tiny Bird Pendant,KSh 100
"Oraimo Strong Bass, HD Sound Earphone + Mic",KSh 299
Fashion 10pcs Makeup Brushes Set For Foundation Powder Blush-Black,KSh 441
Colgate Herbal Toothpaste For Teeth Whitening,KSh 230
Wlisth Men's European Business Waterproof Watch - BLACK,"KSh 1,249"
Teeth Whitening Essence Removes Plaque,KSh 347
Fashion Women Wallets Fashion Wallet Women Bags,KSh 93
Daawat Daawat Green Label Spaghetti – 400g,KSh 79
